04:24:46:813 AWT-EventQueue-0: Build 898.3, Sep 23, 2009 5:03:56 PM
04:25:25:879 AWT-EventQueue-0: Market rule file /Users/david/lab616/third_party/java/ib-tws-898/IBJts/dbuhtmvwt/Fri.rul does not exist or is removed
Jolt logger configuration is done.
06:53:23:050 JTS-CCPPing-12: Warning: not received heartbeat at 8877000 elapsed:11000
06:55:14:058 JTS-CCPPing-12: Warning: not received heartbeat at 8988000 elapsed:11000
06:55:59:051 JTS-CCPPing-12: Warning: not received heartbeat at 9033000 elapsed:11000
06:56:20:052 JTS-CCPPing-12: Warning: not received heartbeat at 9054000 elapsed:11000
06:56:21:053 JTS-CCPPing-12: Warning: not received heartbeat at 9055000 elapsed:12000
06:56:22:053 JTS-CCPPing-12: Warning: not received heartbeat at 9056000 elapsed:13000
06:56:23:053 JTS-CCPPing-12: Warning: not received heartbeat at 9057000 elapsed:14000
06:56:39:054 JTS-CCPPing-12: Warning: not received heartbeat at 9073000 elapsed:11000
06:59:23:068 JTS-CCPPing-12: Warning: not received heartbeat at 9237000 elapsed:11000
06:59:34:069 JTS-CCPPing-12: Warning: not received heartbeat at 9248000 elapsed:11000
07:00:13:071 JTS-CCPPing-12: Warning: not received heartbeat at 9287000 elapsed:11000
07:01:33:076 JTS-CCPPing-12: Warning: not received heartbeat at 9367000 elapsed:11000
07:01:34:077 JTS-CCPPing-12: Warning: not received heartbeat at 9368000 elapsed:12000
07:02:13:078 JTS-CCPPing-12: Warning: not received heartbeat at 9407000 elapsed:11000
07:02:33:080 JTS-CCPPing-12: Warning: not received heartbeat at 9427000 elapsed:11000
07:04:54:091 JTS-CCPPing-12: Warning: not received heartbeat at 9568000 elapsed:11000
07:06:08:860 JTS-CCPPing-12: Warning: not received heartbeat at 9643000 elapsed:11000
07:06:38:862 JTS-CCPPing-12: Warning: not received heartbeat at 9673000 elapsed:11000
07:07:28:865 JTS-CCPPing-12: Warning: not received heartbeat at 9723000 elapsed:11000
07:08:03:868 JTS-CCPPing-12: Warning: not received heartbeat at 9758000 elapsed:11000
07:10:42:877 JTS-CCPPing-12: Warning: not received heartbeat at 9917000 elapsed:11000
07:11:02:878 JTS-CCPPing-12: Warning: not received heartbeat at 9937000 elapsed:11000
07:11:32:880 JTS-CCPPing-12: Warning: not received heartbeat at 9967000 elapsed:11000
07:12:33:884 JTS-CCPPing-12: Warning: not received heartbeat at 10028000 elapsed:11000
07:14:12:889 JTS-CCPPing-12: Warning: not received heartbeat at 10127000 elapsed:11000
07:15:49:112 JTS-CCPPing-12: Warning: not received heartbeat at 10223000 elapsed:11000
07:16:09:113 JTS-CCPPing-12: Warning: not received heartbeat at 10243000 elapsed:11000
07:19:43:124 JTS-CCPPing-12: Warning: not received heartbeat at 10457000 elapsed:11000
07:20:43:127 JTS-CCPPing-12: Warning: not received heartbeat at 10517000 elapsed:11000
