20090802
0000ea6a.454823d8.01.01	00000069.000087da.4a751edb.0001	0.0	USD	1.7976931348623157E308	null	20090803-00:26:36	0.0
0000ea6b.44d05816.01.01	00000041.000086c4.4a7514a8.0001	1.45	USD	1.7976931348623157E308	null	20090802-12:34:49	0.0
0000ea6a.4548221e.01.01	00000092.000087db.4a7523fd.0001	1.0	USD	1.7976931348623157E308	null	20090802-22:38:10	0.0
0000ea6a.454823d4.01.01	00000069.000087da.4a751ee2.0002	1.0	USD	1.7976931348623157E308	null	20090803-00:26:09	2.0
0000ea6a.45482404.01.01	00000069.000087da.4a751ef5.0002	0.5	USD	1.7976931348623157E308	null	20090803-00:31:58	0.0
0000ea6a.454823f1.01.01	00000069.000087da.4a751ef1.0001	0.5	USD	1.7976931348623157E308	null	20090803-00:29:54	4.0
0000efbf.4954f2fc.01.01	00000041.000086c4.4a75187f.0001	2.5	USD	1.7976931348623157E308	null	20090802-17:06:46	0.0
0000ea6a.45482400.01.01	00000069.000087da.4a751ef5.0002	0.0	USD	1.7976931348623157E308	null	20090803-00:31:38	0.0
0000ea6a.454823f0.01.01	00000069.000087da.4a751ef1.0001	0.5	USD	1.7976931348623157E308	null	20090803-00:29:53	4.0
0000ea6a.4548240d.01.01	00000069.000087da.4a751eff.0002	0.5	USD	1.7976931348623157E308	null	20090803-00:32:43	26.5
0000ea6a.454823cb.01.01	00000069.000087da.4a751edb.0001	1.0	USD	1.7976931348623157E308	null	20090803-00:25:26	0.0
0000ea6a.454823eb.01.01	00000069.000087da.4a751ef1.0001	1.0	USD	1.7976931348623157E308	null	20090803-00:29:36	3.5
0000ea6a.4548240a.01.01	00000069.000087da.4a751eff.0002	1.0	USD	1.7976931348623157E308	null	20090803-00:32:40	12.5
0000ea6a.454823e9.01.01	00000069.000087da.4a751eea.0002	2.5	USD	1.7976931348623157E308	null	20090803-00:28:39	0.0
0000ea6b.44d05864.01.01	0000005d.000087da.4a751f13.0001	0.7	USD	1.7976931348623157E308	null	20090803-00:35:50	0.0
0000ea6c.4503a2fb.01.01	00000092.000087db.4a7523f8.0001	2.4	USD	1.7976931348623157E308	null	20090802-22:37:08	0.0
0000ea6a.454823ee.01.01	00000069.000087da.4a751ef1.0001	0.0	USD	1.7976931348623157E308	null	20090803-00:29:48	4.5
0000ea6a.454823fd.01.01	00000069.000087da.4a751ef5.0002	1.0	USD	1.7976931348623157E308	null	20090803-00:31:21	0.0
0000ea6a.454823de.01.01	00000069.000087da.4a751ee6.0001	1.0	USD	1.7976931348623157E308	null	20090803-00:27:05	0.0
0000ea6a.454823f3.01.01	00000069.000087da.4a751ef1.0001	0.5	USD	1.7976931348623157E308	null	20090803-00:30:03	4.0
0000ea6a.454823e0.01.01	00000069.000087da.4a751edb.0001	0.5	USD	1.7976931348623157E308	null	20090803-00:27:12	0.0
0000ea6a.454823df.01.01	00000069.000087da.4a751edb.0001	0.5	USD	1.7976931348623157E308	null	20090803-00:27:11	0.0
0000ea6b.44d05865.01.01	0000005d.000087da.4a751f17.0001	1.75	USD	1.7976931348623157E308	null	20090803-00:35:57	0.0
